0, 287.441045136
1, 139.800917424
2, 114.657735212
3, 102.255951551
4, 98.0087908878
5, 96.4237273119
6, 94.9276465838
7, 93.6723278089
8, 92.6544690616
9, 91.670792528
10, 90.7669353808
11, 90.0478476104
12, 89.1916773565
13, 88.490095911
14, 87.7553826272
15, 87.0085736586
16, 86.4286880386
17, 85.8394619725
18, 85.2226969346
19, 84.4803765467
20, 83.9601211207
21, 82.9828172927
22, 82.4708583308
23, 81.4777799799
24, 80.7839394466
25, 80.0626999557
26, 79.264706721
27, 78.6073187931
28, 78.1666013815
29, 76.7147913404
30, 76.0524667752
31, 74.8402536842
32, 73.9658189215
33, 73.0265799784
34, 72.86022948
35, 71.6191379523
36, 71.4334392426
37, 71.0676816102
38, 71.2086451524
39, 70.9979650443
40, 70.3615537662
41, 70.0301411289
42, 69.8533337951
43, 69.3387719385
44, 68.9915473567
45, 67.7449545708
46, 67.0107702298
47, 66.8901098185
48, 66.3087408011
49, 65.6176418074
50, 64.9167975225
51, 64.4116896581
52, 64.3788546301
53, 63.6211253792
54, 63.1757693108
55, 62.5859245039
56, 62.0863382376
57, 61.7875517037
58, 61.5790812043
59, 61.2202373462
60, 60.9950735037
61, 60.7663319339
62, 60.6167188693
63, 60.4566344607
64, 60.4114139733
65, 60.2713698035
66, 60.2276644433
67, 60.1232138713
68, 59.986809606
69, 59.8235468773
70, 59.7114992962
71, 59.5853199594
72, 59.4276015865
73, 59.2613781486
74, 59.0773263099
75, 58.8883944013
76, 58.7204939119
77, 58.5668902397
78, 58.4108707464
79, 58.2441584502
80, 58.1117572845
81, 57.9493850022
82, 57.8330642737
83, 57.6573160469
84, 57.5049160301
85, 57.3719066875
86, 57.2330067659
87, 57.1077606541
88, 56.9940483221
89, 56.8688319959
90, 56.7059266036
91, 56.557379592
92, 56.4354914951
93, 56.265256821
94, 56.1098524081
95, 55.9745633921
96, 55.8835979358
97, 55.7600567174
98, 55.658254915
99, 55.5517211294
100, 55.4422831475
101, 55.344505711
102, 55.2045921125
103, 55.0985641145
104, 54.9935473059
105, 54.8962459777
106, 54.8049514127
107, 54.6900109273
108, 54.5713804573
109, 54.5082117646
110, 54.4089928676
111, 54.2530895768
112, 54.1574889566
113, 54.0537434384
114, 54.0141929547
115, 53.8897911454
116, 53.8413385737
117, 53.7411588985
118, 53.6432007771
119, 53.5720459944
120, 53.4922650847
121, 53.4143758944
122, 53.3633860114
123, 53.3086727683
124, 53.2471441615
125, 53.1461602442
126, 53.0776801413
127, 53.026044961
128, 52.9866290821
129, 52.904942385
130, 52.842597521
131, 52.7889854589
132, 52.7466776082
133, 52.7232596738
134, 52.6520974044
135, 52.5740406285
136, 52.5150818521
137, 52.4197745445
138, 52.3896373518
139, 52.305103302
140, 52.2907007302
141, 52.262909297
142, 52.1925085031
143, 52.1149252357
144, 52.0437439725
145, 52.0172608364
146, 51.9707851575
147, 51.9158322061
148, 51.8639049008
149, 51.8347594566
150, 51.8091574933
151, 51.7270637677
152, 51.6660069057
153, 51.6147462668
154, 51.5808546322
155, 51.5572009085
156, 51.5095547204
157, 51.4431130862
158, 51.4179959447
159, 51.373106073
160, 51.3275992304
161, 51.2948302575
162, 51.2648718443
163, 51.2326296012
164, 51.2047465988
165, 51.177775227
166, 51.1461620512
167, 51.1138784141
168, 51.080751759
169, 51.0583144057
170, 51.0330458817
171, 51.0086769577
172, 50.9913693957
173, 50.9772478346
174, 50.9516527286
175, 50.9261822842
176, 50.9009134406
177, 50.8714087806
178, 50.8575662264
179, 50.8406811369
180, 50.8199127486
181, 50.8053918384
182, 50.7827687128
183, 50.7644048877
184, 50.7670738455
185, 50.7634275381
186, 50.7677978099
187, 50.7830993217
188, 50.8380594044
189, 50.8839728542
190, 50.9551218457
191, 50.979749926
192, 51.0136710883
193, 51.0939362554
194, 51.1728891399
195, 51.2874592254
196, 51.3976324272
197, 51.4329461552
198, 51.6323375292
199, 51.7294190043
200, 51.745601714
201, 51.8734423673
202, 51.98182406
203, 52.0995874902
204, 52.2051091942
205, 52.39548484
206, 52.4433717594
207, 52.5695371173
208, 52.5726622638
209, 52.5958244264
210, 52.598484203
211, 52.6942122699
212, 52.8067365431
213, 52.9360975231
214, 52.9588799082
215, 53.0203604985
216, 53.069200751
217, 53.0284981781
218, 53.0972296001
219, 53.1142665142
220, 53.0398233281
221, 53.0277650914
222, 52.9254307087
223, 52.8454239027
224, 52.8324650891
225, 52.8198741453
226, 52.7463746728
227, 52.7145972939
228, 52.648874835
229, 52.5628463302
230, 52.5142823234
231, 52.4881928856
232, 52.4026545189
233, 52.3063058915
234, 52.2517390131
235, 52.2175480448
236, 52.1260825658
237, 52.0601742654
238, 52.0157270334
239, 51.9566567342
240, 51.9077916557
241, 51.8063564031
242, 51.798551029
243, 51.7519118383
244, 51.7402683711
245, 51.7004024465
246, 51.6457528632
247, 51.61904729
248, 51.604458504
249, 51.577866265
250, 51.5382074402
251, 51.4731944156
252, 51.4714795692
253, 51.4457481815
254, 51.4024793904
255, 51.3673128737
256, 51.3204951792
257, 51.2606809927
258, 51.2441248125
259, 51.2236188526
260, 51.2001265651
261, 51.1737822903
262, 51.129067476
263, 51.0920803473
264, 51.0559798085
265, 51.0322329857
266, 51.0075394872
267, 51.0133741957
268, 50.9645286363
269, 50.8996364996
270, 50.8592647632
271, 50.8244950775
272, 50.7984955544
273, 50.7644057435
274, 50.7505377888
275, 50.7052744888
276, 50.6635051298
277, 50.6247059264
278, 50.5894473125
279, 50.5556390686
280, 50.5400143195
281, 50.5161039415
282, 50.4931197475
